iter	Passed	Remaining
0	109	32866
1	115	17149
2	119	11784
3	121	8990
4	123	7314
5	127	6232
6	132	5544
7	135	4963
8	138	4462
9	139	4059
10	144	3788
11	147	3545
12	162	3582
13	164	3367
14	167	3175
15	169	3001
16	171	2846
17	173	2713
18	176	2609
19	179	2518
20	182	2428
21	185	2340
22	187	2255
23	189	2175
24	194	2137
25	197	2086
26	203	2058
27	205	1999
28	209	1960
29	212	1914
30	214	1864
31	216	1816
32	218	1770
33	220	1726
34	223	1692
35	227	1671
36	231	1647
37	233	1612
38	238	1597
39	241	1570
40	244	1542
41	246	1512
42	248	1483
43	250	1457
44	254	1439
45	256	1414
46	258	1390
47	260	1366
48	262	1343
49	264	1322
50	267	1304
51	271	1294
52	275	1285
53	278	1266
54	280	1247
55	282	1229
56	288	1228
57	308	1286
58	311	1271
59	313	1254
60	317	1245
61	321	1233
62	324	1220
63	326	1204
64	328	1187
65	330	1171
66	334	1162
67	337	1151
68	339	1137
69	341	1122
70	343	1108
71	346	1098
72	350	1090
73	353	1078
74	355	1065
75	357	1052
76	358	1039
77	360	1027
78	363	1016
79	366	1007
80	368	997
81	370	986
82	373	975
83	375	965
84	377	956
85	384	957
86	389	954
87	392	944
88	395	938
89	399	931
90	401	921
91	403	912
92	405	902
93	407	892
94	409	884
95	412	877
96	416	871
97	420	865
98	422	858
99	426	852
100	428	843
101	431	837
102	433	829
103	435	821
104	437	812
105	443	812
106	446	805
107	448	797
108	451	790
109	453	782
110	455	776
111	458	770
112	462	765
113	464	758
114	467	751
115	469	744
116	471	737
117	475	732
118	478	727
119	481	722
120	484	716
121	486	709
122	490	706
123	495	703
124	498	697
125	500	691
126	503	686
127	507	681
128	511	677
129	513	671
130	515	665
131	517	659
132	521	654
133	523	648
134	527	644
135	529	638
136	532	633
137	535	628
138	538	624
139	541	618
140	543	612
141	545	606
142	547	600
143	549	595
144	552	590
145	568	600
146	573	596
147	576	592
148	578	586
149	581	581
150	583	575
151	586	571
152	589	566
153	591	560
154	593	555
155	595	549
156	597	544
157	600	540
158	603	535
159	606	530
160	609	525
161	611	520
162	614	516
163	616	511
164	620	507
165	622	502
166	624	497
167	626	492
168	630	488
169	632	483
170	634	478
171	636	474
172	639	469
173	641	464
174	643	459
175	648	457
176	653	453
177	655	449
178	657	444
179	661	440
180	664	436
181	667	432
182	670	428
183	672	423
184	675	419
185	679	416
186	682	412
187	685	408
188	687	403
189	690	399
190	693	396
191	696	391
192	711	394
193	714	390
194	717	386
195	720	382
196	722	377
197	724	373
198	726	368
199	728	364
200	730	359
201	733	355
202	735	351
203	738	347
204	740	342
205	741	338
206	743	334
207	746	330
208	749	326
209	754	323
210	756	319
211	758	314
212	761	310
213	764	307
214	767	303
215	769	299
216	772	295
217	774	291
218	778	287
219	780	283
220	796	284
221	800	281
222	803	277
223	805	273
224	807	269
225	810	265
226	813	261
227	816	257
228	818	253
229	820	249
230	822	245
231	825	241
232	828	238
233	832	234
234	834	230
235	836	226
236	839	223
237	842	219
238	845	215
239	847	211
240	849	208
241	851	204
242	853	200
243	857	196
244	860	193
245	862	189
246	864	185
247	867	181
248	870	178
249	875	175
250	878	171
251	880	167
252	883	164
253	885	160
254	889	156
255	892	153
256	894	149
257	897	146
258	899	142
259	904	139
260	908	135
261	912	132
262	914	128
263	916	125
264	921	121
265	924	118
266	926	114
267	928	110
268	930	107
269	932	103
270	941	100
271	943	97
272	945	93
273	948	89
274	951	86
275	954	83
276	957	79
277	959	75
278	961	72
279	963	68
280	967	65
281	970	61
282	972	58
283	974	54
284	976	51
285	979	47
286	984	44
287	988	41
288	990	37
289	993	34
290	995	30
291	998	27
292	1001	23
293	1004	20
294	1006	17
295	1009	13
296	1012	10
297	1016	6
298	1020	3
299	1023	0
